id,name,is_animation_studio,site_url,favorites
6609,Bushiroad Creative,False,https://anilist.co/studio/6609,3
6608,Bushiroad Music,False,https://anilist.co/studio/6608,2
6891,Bushiroad Move,False,https://anilist.co/studio/6891,2
747,Apollon,False,https://anilist.co/studio/747,0
109,Shouchiku,False,https://anilist.co/studio/109,7
7079,ONE MUSIC,False,https://anilist.co/studio/7079,5
443,Studio PuYUKAI,True,https://anilist.co/studio/443,25
6573,Sunrise Beyond,True,https://anilist.co/studio/6573,7
6706,GYORAI EIZO,False,https://anilist.co/studio/6706,0
6640,MAZRI,False,https://anilist.co/studio/6640,0
7409,SUPER SUPER,True,https://anilist.co/studio/7409,0
6459,CALF,True,https://anilist.co/studio/6459,1
6119,GEMBA,False,https://anilist.co/studio/6119,4
529,Lapis,True,https://anilist.co/studio/529,0
7432,SAFEHOUSE,True,https://anilist.co/studio/7432,0
391,Grouper Production,True,https://anilist.co/studio/391,0
6750,Image Stream,False,https://anilist.co/studio/6750,0
100,TV Osaka,False,https://anilist.co/studio/100,1
7092,Qzil.la,False,https://anilist.co/studio/7092,0
7367,IMAGICA DIGITALSCAPE,True,https://anilist.co/studio/7367,0
6401,Sega Toys,False,https://anilist.co/studio/6401,1
330,Kanaban Graphics,True,https://anilist.co/studio/330,1
6283,Studio Durian,False,https://anilist.co/studio/6283,8
6297,Q-Tec,False,https://anilist.co/studio/6297,5
6432,JR Higashi Nihon Kikaku,False,https://anilist.co/studio/6432,4
7232,CyberAgent,False,https://anilist.co/studio/7232,1
6075,Lay-duce,True,https://anilist.co/studio/6075,46
6610,Banpresto,False,https://anilist.co/studio/6610,1
6981,Village Studio,True,https://anilist.co/studio/6981,6
6337,Space Neko Company,True,https://anilist.co/studio/6337,8
290,Kinema Citrus,True,https://anilist.co/studio/290,789
7238,Takeshobo,False,https://anilist.co/studio/7238,2
6784,Global Solutions,False,https://anilist.co/studio/6784,0
6313,Kadokawa Media House,False,https://anilist.co/studio/6313,27
6783,Kanetsuu Investment,False,https://anilist.co/studio/6783,0
6562,SB Creative,False,https://anilist.co/studio/6562,1
963,MAGES.,False,https://anilist.co/studio/963,24
6715,Toy's Factory,False,https://anilist.co/studio/6715,4
6103,PINE JAM,True,https://anilist.co/studio/6103,88
352,Kadokawa Pictures Japan,False,https://anilist.co/studio/352,103
459,Nitroplus,False,https://anilist.co/studio/459,74
158,Kids Station,False,https://anilist.co/studio/158,1
6763,Yomiuri TV Enterprise,False,https://anilist.co/studio/6763,1
300,SILVER LINK.,True,https://anilist.co/studio/300,1287
5,Bee Train,True,https://anilist.co/studio/5,52
7010,OVERLAP,False,https://anilist.co/studio/7010,4
627,Madoka Partners,False,https://anilist.co/studio/627,5
797,Houbunsha,False,https://anilist.co/studio/797,8
7142,f4samurai,False,https://anilist.co/studio/7142,0
6615,Straight Edge,False,https://anilist.co/studio/6615,1
6069,Studio 3Hz,True,https://anilist.co/studio/6069,210
6102,Kinoshita Group,False,https://anilist.co/studio/6102,0
436,AIC Build,True,https://anilist.co/studio/436,20
755,Jumondou,True,https://anilist.co/studio/755,9
7387,I was a Ballerina,True,https://anilist.co/studio/7387,0
75,Imagin,True,https://anilist.co/studio/75,16
911,Passione,True,https://anilist.co/studio/911,315
6306,ENISHIYA,False,https://anilist.co/studio/6306,3
85,Konami,False,https://anilist.co/studio/85,14
7355,CD PROJEKT RED,False,https://anilist.co/studio/7355,10
6524,Studio Massket,True,https://anilist.co/studio/6524,1
7094,eStream,False,https://anilist.co/studio/7094,0
170,Imagica,False,https://anilist.co/studio/170,4
745,Cosmic Ray,False,https://anilist.co/studio/745,3
751,Marvelous,False,https://anilist.co/studio/751,4
6109,Studio Signpost,True,https://anilist.co/studio/6109,17
334,Ordet,True,https://anilist.co/studio/334,8
7006,Bibury Animation CG,True,https://anilist.co/studio/7006,0
7166,NetEase Games,False,https://anilist.co/studio/7166,4
148,Hakusensha,False,https://anilist.co/studio/148,2
7149,Beyond C.,False,https://anilist.co/studio/7149,0
6431,KDDI,False,https://anilist.co/studio/6431,0
7297,Rialto Entertainment,False,https://anilist.co/studio/7297,0
134,Horipro,False,https://anilist.co/studio/134,8
241,Koei,True,https://anilist.co/studio/241,0
7156,Universal Music,False,https://anilist.co/studio/7156,0
203,Visual Arts,False,https://anilist.co/studio/203,14
6817,CBC TV,False,https://anilist.co/studio/6817,0
66,Key,False,https://anilist.co/studio/66,198
6377,ABC Animation,False,https://anilist.co/studio/6377,21
6622,Nagoya Broadcasting Network,False,https://anilist.co/studio/6622,0
6982,LIDENFILMS Kyoto Studio,True,https://anilist.co/studio/6982,4
6314,Okuruto Noboru,True,https://anilist.co/studio/6314,19
