account_id,media_id,status,score,progress,progress_volumes,repeat,priority,private,notes,started_at,completed_at,updated_at,created_at
2,99147,COMPLETED,80,12,,,,,,,,,
2,104578,COMPLETED,90,10,,,,,,,,,
2,110277,COMPLETED,80,16,,,,,,,,,
2,20812,COMPLETED,50,24,,,,,,,,,
2,20923,COMPLETED,50,24,,,,,,,,,
2,21518,COMPLETED,50,13,,,,,,,,,
2,99255,COMPLETED,50,12,,,,,,,,,
2,99420,COMPLETED,60,12,,,,,,,,,
2,99426,COMPLETED,50,13,,,,,,,,,
2,99424,COMPLETED,50,12,,,,,,,,,
2,9253,COMPLETED,100,24,,,,,,,,,
2,21127,COMPLETED,80,23,,,,,,,,,
2,14289,COMPLETED,30,13,,,,,,,,,
2,7311,COMPLETED,60,1,,,,,,,,,
2,849,COMPLETED,60,14,,,,,,,,,
2,4382,COMPLETED,60,14,,,,,,,,,
2,11757,COMPLETED,40,25,,,,,,,,,
2,100183,COMPLETED,50,12,,,,,,,,,
2,20594,COMPLETED,20,24,,,,,,,,,
2,21495,COMPLETED,50,12,,,,,,,,,
2,99263,COMPLETED,60,25,,,,,,,,,
2,106286,COMPLETED,70,1,,,,,,,,,
2,513,COMPLETED,70,1,,,,,,,,,
2,125428,COMPLETED,50,12,,,,,,,,,
2,108511,COMPLETED,60,12,,,,,,,,,
2,2236,COMPLETED,60,1,,,,,,,,,
2,20605,COMPLETED,60,12,,,,,,,,,
2,523,COMPLETED,70,1,,,,,,,,,
2,116267,COMPLETED,50,12,,,,,,,,,
2,4224,COMPLETED,80,25,,,,,,,,,
2,98202,COMPLETED,50,12,,,,,,,,,
2,21827,COMPLETED,90,13,,,,,,,,,
2,109190,COMPLETED,80,1,,,,,,,,,
2,128546,COMPLETED,70,13,,,,,,,,,
2,101227,COMPLETED,40,12,,,,,,,,,
2,124845,COMPLETED,80,12,,,,,,,,,
2,14813,COMPLETED,60,13,,,,,,,,,
2,108489,COMPLETED,70,12,,,,,,,,,
2,20698,COMPLETED,70,13,,,,,,,,,
2,101759,COMPLETED,80,12,,,,,,,,,
2,21613,COMPLETED,60,12,,,,,,,,,
2,20661,COMPLETED,70,11,,,,,,,,,
2,103871,COMPLETED,50,12,,,,,,,,,
2,21857,COMPLETED,40,12,,,,,,,,,
2,101213,COMPLETED,40,1,,,,,,,,,
2,104647,COMPLETED,50,12,,,,,,,,,
2,3786,COMPLETED,90,1,,,,,,,,,
2,101348,COMPLETED,70,24,,,,,,,,,
2,107717,COMPLETED,70,12,,,,,,,,,
2,106625,COMPLETED,0,13,,,,,,,,,
2,21049,COMPLETED,50,13,,,,,,,,,
2,116742,COMPLETED,60,12,,,,,,,,,
2,127720,COMPLETED,80,12,,,,,,,,,
2,131681,COMPLETED,80,12,,,,,,,,,
2,132405,COMPLETED,60,12,,,,,,,,,
2,142329,COMPLETED,70,11,,,,,,,,,
2,131573,COMPLETED,80,1,,,,,,,,,
2,113596,COMPLETED,80,1,,,,,,,,,
2,20519,COMPLETED,50,1,,,,,,,,,
2,114963,COMPLETED,50,1,,,,,,,,,
2,107625,COMPLETED,40,1,,,,,,,,,
2,1943,COMPLETED,70,1,,,,,,,,,
2,125367,COMPLETED,80,13,,,,,,,,,
2,227,COMPLETED,80,6,,,,,,,,,
2,1088,COMPLETED,0,36,,,,,,,,,
2,98659,COMPLETED,60,12,,,,,,,,,
2,100749,COMPLETED,60,1,,,,,,,,,
2,103047,COMPLETED,80,1,,,,,,,,,
2,114745,COMPLETED,100,12,,,,,,,,,
2,120377,COMPLETED,80,10,,,,,,,,,
2,127230,COMPLETED,80,12,,,,,,,,,
2,128547,COMPLETED,80,13,,,,,,,,,
2,129201,COMPLETED,70,25,,,,,,,,,
2,130003,COMPLETED,70,12,,,,,,,,,
