media_id,related_media_id,relation_type
30013,110450,ALTERNATIVE
30013,146516,ALTERNATIVE
30013,154266,CHARACTER
30013,466,ADAPTATION
30013,75757,CHARACTER
119425,30013,PARENT
125826,30793,OTHER
125826,30013,SEQUEL
125826,167404,ADAPTATION
30793,30013,ALTERNATIVE
30793,35114,ALTERNATIVE
30793,21,ADAPTATION
30793,134186,OTHER
30793,134185,OTHER
30793,125826,OTHER
30793,134184,OTHER
30793,147146,OTHER
134184,30013,ALTERNATIVE
134184,21,ADAPTATION
134184,30793,OTHER
134184,35114,ALTERNATIVE
35114,5252,ADAPTATION
35114,30013,ALTERNATIVE
35114,30793,ALTERNATIVE
35114,134184,ALTERNATIVE
5252,35114,ADAPTATION
5252,21,ALTERNATIVE
134185,30793,OTHER
134186,30793,OTHER
147146,30793,OTHER
167404,125826,ADAPTATION
167404,21,SEQUEL
53251,82353,ALTERNATIVE
53251,30013,PARENT
82353,53251,ALTERNATIVE
82353,30013,PARENT
102533,30013,PARENT
3848,2107,PREQUEL
3848,21,PARENT
3848,4155,SEQUEL
3848,30013,ADAPTATION
3848,107110,OTHER
107110,3848,PARENT
107110,21,PARENT
2107,30013,ADAPTATION
2107,21,PARENT
2107,465,PREQUEL
2107,3848,SEQUEL
2107,106572,PREQUEL
106572,2107,SEQUEL
106572,21,PARENT
106572,30013,ADAPTATION
465,21,PARENT
465,464,PREQUEL
465,2107,SEQUEL
464,21,PARENT
464,463,PREQUEL
464,465,SEQUEL
463,21,PARENT
463,462,PREQUEL
463,464,SEQUEL
462,21,PARENT
462,461,PREQUEL
462,463,SEQUEL
461,21,PARENT
461,460,PREQUEL
461,462,SEQUEL
461,2386,SIDE_STORY
2386,461,PARENT
2386,21,PARENT
460,21,PARENT
460,459,PREQUEL
460,461,SEQUEL
460,2385,SIDE_STORY
2385,460,PARENT
2385,21,PARENT
459,460,SEQUEL
459,21,PARENT
4155,8740,PREQUEL
4155,21,PARENT
4155,3848,PREQUEL
4155,9999,SEQUEL
8740,4155,SEQUEL
8740,47152,ADAPTATION
8740,21,PARENT
47152,8740,ADAPTATION
47152,30013,PARENT
9999,21,PARENT
9999,4155,PREQUEL
9999,12859,SEQUEL
12859,16239,PREQUEL
12859,16468,PREQUEL
12859,21,PARENT
12859,9999,PREQUEL
16468,12859,SEQUEL
16468,21,PARENT
16239,12859,SEQUEL
16239,21,PARENT
105234,466,ADAPTATION
105234,30013,PARENT
466,21,PARENT
466,105234,ADAPTATION
466,30013,ADAPTATION
113686,30013,PARENT
110232,30013,PARENT
110233,30013,PARENT
154266,30013,CHARACTER
101918,30013,ADAPTATION
101918,21,PARENT
30881,30013,CHARACTER
30881,30042,CHARACTER
30042,6033,ADAPTATION
30042,223,ADAPTATION
30042,813,ADAPTATION
30042,32897,ALTERNATIVE
30042,20635,ADAPTATION
30042,84627,PREQUEL
30042,53446,ALTERNATIVE
30042,41926,CHARACTER
30042,30881,CHARACTER
30042,86508,SEQUEL
30042,98030,ALTERNATIVE
30042,96511,CHARACTER
30042,97900,SIDE_STORY
30042,46110,SIDE_STORY
30042,73401,OTHER
30042,56373,SPIN_OFF
30042,985,ADAPTATION
30042,124602,OTHER
30042,129895,OTHER
30042,134342,ALTERNATIVE
30042,134344,ALTERNATIVE
30042,30796,CHARACTER
32897,30042,ALTERNATIVE
6033,223,PREQUEL
6033,11359,SEQUEL
6033,30042,ADAPTATION
6033,813,ALTERNATIVE
813,223,PREQUEL
813,225,SEQUEL
813,30042,ADAPTATION
813,894,SIDE_STORY
813,895,SIDE_STORY
813,896,SIDE_STORY
813,897,SIDE_STORY
813,898,SIDE_STORY
813,899,SIDE_STORY
813,900,SIDE_STORY
813,901,SIDE_STORY
813,902,SIDE_STORY
813,903,SIDE_STORY
813,904,SIDE_STORY
813,905,SIDE_STORY
813,906,SIDE_STORY
813,984,SIDE_STORY
813,985,SIDE_STORY
813,5152,SIDE_STORY
813,6714,SIDE_STORY
813,12231,SIDE_STORY
813,14837,SIDE_STORY
813,6033,ALTERNATIVE
813,20635,ALTERNATIVE
813,20778,SIDE_STORY
813,21175,SEQUEL
813,102431,SIDE_STORY
813,106492,CHARACTER
813,107256,CHARACTER
813,10017,SIDE_STORY
813,21,CHARACTER
813,986,SIDE_STORY
813,138864,CHARACTER
813,167496,OTHER
896,897,SEQUEL
896,813,PARENT
896,138864,OTHER
138864,502,PARENT
138864,891,PARENT
138864,892,PARENT
138864,894,PARENT
138864,895,PARENT
138864,896,PARENT
138864,897,PARENT
138864,898,PARENT
138864,899,PARENT
138864,813,CHARACTER
897,896,PREQUEL
897,813,PARENT
897,138864,OTHER
898,899,SEQUEL
898,813,PARENT
898,138864,OTHER
899,898,PREQUEL
899,813,PARENT
899,138864,OTHER
502,891,SEQUEL
502,223,ALTERNATIVE
502,893,ALTERNATIVE
502,138864,OTHER
891,502,PREQUEL
891,892,SEQUEL
891,223,ALTERNATIVE
891,138864,OTHER
892,891,PREQUEL
892,223,ALTERNATIVE
892,138864,OTHER
892,3312,CHARACTER
892,2222,CHARACTER
2222,30796,ADAPTATION
2222,6028,SIDE_STORY
2222,7157,SIDE_STORY
2222,7158,SIDE_STORY
2222,7666,SIDE_STORY
2222,7667,SIDE_STORY
2222,7816,SIDE_STORY
2222,8546,SIDE_STORY
2222,8547,SIDE_STORY
2222,8548,SIDE_STORY
2222,3312,ALTERNATIVE
2222,21175,CHARACTER
2222,223,CHARACTER
2222,139067,SIDE_STORY
2222,139062,SIDE_STORY
2222,892,CHARACTER
8546,2222,PARENT
8547,2222,PARENT
8548,2222,PARENT
7816,2222,PARENT
6028,2222,PARENT
30796,3312,ADAPTATION
30796,2222,ADAPTATION
30796,41926,CHARACTER
30796,94626,SEQUEL
30796,134362,SPIN_OFF
30796,30042,CHARACTER
30796,164679,CHARACTER
94626,30796,PREQUEL
41926,30013,CHARACTER
41926,30011,CHARACTER
41926,30796,CHARACTER
41926,30043,CHARACTER
41926,31505,CHARACTER
41926,30042,CHARACTER
41926,30045,CHARACTER
31505,1050,ADAPTATION
31505,41521,ALTERNATIVE
31505,41210,SEQUEL
31505,41926,CHARACTER
31505,96511,CHARACTER
31505,92124,SPIN_OFF
31505,129539,PARENT
129539,31505,SPIN_OFF
129539,63617,OTHER
129539,41521,OTHER
63617,129539,OTHER
41521,31505,ALTERNATIVE
41521,129539,OTHER
41210,31505,PREQUEL
1050,31505,ADAPTATION
1050,139250,CHARACTER
1050,21170,CHARACTER
21170,69883,ADAPTATION
21170,20755,PREQUEL
21170,21678,SIDE_STORY
21170,101102,SUMMARY
21170,97985,SPIN_OFF
21170,1050,CHARACTER
21170,21804,CHARACTER
21170,31814,CHARACTER
21170,11771,CHARACTER
97985,86949,ADAPTATION
97985,20755,PARENT
97985,21170,PARENT
97985,21864,OTHER
21864,20755,PARENT
21864,86949,ADAPTATION
21864,97985,OTHER
20755,69883,ADAPTATION
20755,21170,SEQUEL
20755,21303,SIDE_STORY
20755,21864,SPIN_OFF
20755,101102,SUMMARY
20755,97985,SPIN_OFF
20755,19759,ALTERNATIVE
101102,69883,ADAPTATION
101102,20755,PARENT
101102,21170,PARENT
69883,19759,ADAPTATION
69883,20755,ADAPTATION
69883,21170,ADAPTATION
69883,86949,SPIN_OFF
69883,21678,ADAPTATION
69883,101102,ADAPTATION
69883,63933,OTHER
69883,67755,CHARACTER
69883,41652,CHARACTER
69883,66933,CHARACTER
69883,75757,CHARACTER
86949,69883,PARENT
86949,21864,ADAPTATION
86949,97985,ADAPTATION
67755,19469,ADAPTATION
67755,21804,ADAPTATION
67755,98034,ADAPTATION
67755,61079,ALTERNATIVE
67755,104580,ADAPTATION
67755,112625,ADAPTATION
67755,69883,CHARACTER
67755,47119,CHARACTER
67755,151888,SIDE_STORY
104580,67755,ADAPTATION
104580,98034,PREQUEL
104580,112625,SEQUEL
112625,67755,ADAPTATION
112625,98034,PREQUEL
112625,104580,PREQUEL
98034,21804,PREQUEL
98034,67755,ADAPTATION
98034,104580,SEQUEL
98034,112625,SEQUEL
98034,918,CHARACTER
21804,67755,ADAPTATION
21804,98034,SEQUEL
21804,19469,ALTERNATIVE
21804,21170,CHARACTER
19469,67755,ADAPTATION
19469,21804,ALTERNATIVE
918,9969,SEQUEL
918,2951,SIDE_STORY
918,6945,SIDE_STORY
918,10643,SIDE_STORY
918,7472,ALTERNATIVE
918,20760,ALTERNATIVE
918,15335,OTHER
918,30044,ADAPTATION
918,111952,CHARACTER
918,98034,CHARACTER
918,162890,SPIN_OFF
6945,30044,ADAPTATION
6945,918,PARENT
30044,2951,ADAPTATION
30044,6945,ADAPTATION
30044,7472,ADAPTATION
30044,918,ADAPTATION
30044,15417,ADAPTATION
30044,20760,ADAPTATION
30044,20996,ADAPTATION
30044,21588,ADAPTATION
30044,97889,ADAPTATION
30044,95458,OTHER
30044,99714,ADAPTATION
30044,100784,ADAPTATION
30044,101925,ADAPTATION
30044,9969,ADAPTATION
30044,44022,SPIN_OFF
30044,52810,OTHER
30044,34836,OTHER
30044,114129,ADAPTATION
30044,126819,ADAPTATION
30044,31414,CHARACTER
30044,75757,CHARACTER
30044,169000,ADAPTATION
99714,97889,PREQUEL
99714,100784,SEQUEL
99714,30044,ADAPTATION
100784,99714,PREQUEL
100784,101925,SEQUEL
100784,30044,ADAPTATION
101925,100784,PREQUEL
101925,30044,ADAPTATION
101925,126819,SEQUEL
126819,114129,SEQUEL
126819,101925,PREQUEL
126819,30044,ADAPTATION
114129,30044,ADAPTATION
114129,126819,PREQUEL
97889,20996,PREQUEL
97889,99714,SEQUEL
97889,30044,ADAPTATION
20996,15417,PREQUEL
20996,21501,SIDE_STORY
20996,21588,SIDE_STORY
20996,97889,SEQUEL
20996,15335,PREQUEL
20996,30044,ADAPTATION
15335,918,PARENT
15335,20996,SEQUEL
15335,15417,PREQUEL
15417,9969,PREQUEL
15417,20996,SEQUEL
15417,30044,ADAPTATION
15417,15335,SEQUEL
15417,20882,SIDE_STORY
9969,918,PREQUEL
9969,15417,SEQUEL
9969,9863,CHARACTER
9969,20760,ALTERNATIVE
9969,30044,ADAPTATION
9969,169000,SUMMARY
9863,31414,ADAPTATION
9863,16395,SIDE_STORY
9863,9969,CHARACTER
9863,10775,SUMMARY
9863,16718,OTHER
16395,31414,ADAPTATION
16395,9863,PARENT
31414,16395,ADAPTATION
31414,9863,ADAPTATION
31414,50065,ALTERNATIVE
31414,53598,ADAPTATION
31414,43891,CHARACTER
31414,30044,CHARACTER
31414,135895,ALTERNATIVE
31414,128896,OTHER
128896,31414,OTHER
50065,31414,ALTERNATIVE
43891,31414,CHARACTER
43891,30043,CHARACTER
43891,39711,CHARACTER
43891,30047,CHARACTER
43891,30671,CHARACTER
30671,5667,ADAPTATION
30671,9181,ADAPTATION
30671,3455,ADAPTATION
30671,49018,ALTERNATIVE
30671,52519,SEQUEL
30671,86685,SPIN_OFF
30671,109315,SIDE_STORY
30671,43891,CHARACTER
30671,47606,CHARACTER
30671,119493,OTHER
5667,3455,PREQUEL
5667,9181,SEQUEL
5667,30671,ADAPTATION
9181,5667,PREQUEL
9181,13663,SEQUEL
9181,30671,ADAPTATION
13663,9181,PREQUEL
13663,52519,ADAPTATION
13663,13851,SIDE_STORY
13663,20995,SEQUEL
20995,13663,PREQUEL
20995,52519,ADAPTATION
20995,21852,SEQUEL
21852,20995,PREQUEL
21852,52519,ADAPTATION
21852,21853,SEQUEL
21853,52519,ADAPTATION
21853,100659,SEQUEL
21853,21852,PREQUEL
100659,21853,PREQUEL
100659,121848,ADAPTATION
121848,100659,ADAPTATION
121848,52519,PARENT
52519,13663,ADAPTATION
52519,13851,ADAPTATION
52519,30671,PREQUEL
52519,71835,SIDE_STORY
52519,20995,ADAPTATION
52519,21852,ADAPTATION
52519,21853,ADAPTATION
52519,109316,SIDE_STORY
52519,121848,SIDE_STORY
52519,109315,PARENT
52519,30040,CHARACTER
52519,149278,SIDE_STORY
52519,160524,SIDE_STORY
109316,52519,PARENT
109316,109315,PREQUEL
109315,30671,PARENT
109315,52519,OTHER
109315,109316,SEQUEL
30040,68,ADAPTATION
30040,52519,CHARACTER
68,30040,ADAPTATION
68,2589,SIDE_STORY
2589,68,PARENT
71835,52519,PARENT
160524,52519,PARENT
13851,52519,ADAPTATION
13851,13663,PARENT
149278,52519,PARENT
3455,5667,SEQUEL
3455,30671,ADAPTATION
119493,108482,ALTERNATIVE
119493,142849,ADAPTATION
119493,31012,OTHER
119493,30671,OTHER
142849,119493,ADAPTATION
108482,119493,ALTERNATIVE
31012,119493,OTHER
86685,30671,PARENT
47606,50550,ADAPTATION
47606,7590,ALTERNATIVE
47606,30671,CHARACTER
7590,50550,ADAPTATION
7590,8599,SIDE_STORY
7590,47606,ALTERNATIVE
50550,7590,ADAPTATION
50550,47606,ADAPTATION
8599,7590,PARENT
49018,30671,ALTERNATIVE
39711,12365,ADAPTATION
39711,7674,ADAPTATION
39711,10030,ADAPTATION
39711,86513,PREQUEL
39711,95994,ADAPTATION
39711,51274,SIDE_STORY
39711,43891,CHARACTER
39711,133105,SPIN_OFF
51274,39711,PARENT
12365,10030,PREQUEL
12365,15711,PREQUEL
12365,39711,ADAPTATION
12365,102608,SIDE_STORY
102608,12365,PARENT
10030,7674,PREQUEL
10030,12365,SEQUEL
10030,39711,ADAPTATION
10030,15711,SUMMARY
10030,102609,SIDE_STORY
102609,10030,PARENT
7674,10030,SEQUEL
7674,39711,ADAPTATION
7674,15711,SUMMARY
15711,12365,SEQUEL
15711,7674,SUMMARY
15711,10030,SUMMARY
86513,39711,SEQUEL
133105,39711,PARENT
95994,39711,ADAPTATION
30043,15,ADAPTATION
30043,102052,ALTERNATIVE
30043,41926,CHARACTER
30043,43891,CHARACTER
102052,30043,ALTERNATIVE
15,30043,ADAPTATION
15,1317,SIDE_STORY
15,6418,SIDE_STORY
6418,15,PARENT
1317,15,PARENT
30047,1604,ADAPTATION
30047,43891,CHARACTER
30047,53504,SPIN_OFF
30047,47288,SIDE_STORY
30047,91752,SIDE_STORY
53504,30047,PARENT
1604,30047,ADAPTATION
1604,8532,SIDE_STORY
1604,9023,SIDE_STORY
1604,143393,OTHER
143393,1604,PARENT
143393,21677,PARENT
21677,85227,ADAPTATION
21677,143393,OTHER
85227,21677,ADAPTATION
8532,1604,PARENT
9023,1604,PARENT
91752,30047,PARENT
47288,30047,PARENT
135895,31414,ALTERNATIVE
53598,31414,ADAPTATION
16718,9863,PARENT
10775,9863,PARENT
169000,30044,ADAPTATION
169000,9969,PARENT
20760,918,PARENT
20760,9969,PARENT
20760,30044,ADAPTATION
20882,15417,PARENT
21588,30044,ADAPTATION
21588,20996,PARENT
21501,20996,PARENT
2951,30044,ADAPTATION
2951,918,PARENT
34836,30044,OTHER
7472,30044,ADAPTATION
7472,918,ALTERNATIVE
7472,9735,OTHER
9735,7472,PARENT
52810,30044,OTHER
95458,30044,PARENT
75757,20923,ADAPTATION
75757,86160,SPIN_OFF
75757,21518,ADAPTATION
75757,98702,ADAPTATION
75757,21691,ADAPTATION
75757,99255,ADAPTATION
75757,100773,ADAPTATION
75757,101924,ADAPTATION
75757,109963,ADAPTATION
75757,110338,SEQUEL
75757,114043,ADAPTATION
75757,105229,OTHER
75757,90653,SIDE_STORY
75757,96093,SIDE_STORY
75757,128605,OTHER
75757,78151,CHARACTER
75757,69883,CHARACTER
75757,65243,CHARACTER
75757,61499,CHARACTER
75757,30044,CHARACTER
75757,30013,CHARACTER
110338,75757,PREQUEL
110338,114043,ADAPTATION
114043,109963,PREQUEL
114043,75757,ADAPTATION
114043,110338,ADAPTATION
109963,75757,ADAPTATION
109963,100773,PREQUEL
109963,114043,SEQUEL
100773,99255,PREQUEL
100773,75757,ADAPTATION
100773,101924,SIDE_STORY
100773,109963,SEQUEL
101924,100773,PARENT
101924,75757,ADAPTATION
99255,75757,ADAPTATION
99255,98702,PREQUEL
99255,100773,SEQUEL
99255,21518,PREQUEL
21518,20923,PREQUEL
21518,75757,ADAPTATION
21518,98702,SEQUEL
21518,99255,SEQUEL
20923,75757,ADAPTATION
20923,21518,SEQUEL
20923,21691,SIDE_STORY
21691,20923,PARENT
21691,75757,ADAPTATION
98702,75757,ADAPTATION
98702,21518,PREQUEL
98702,99255,SEQUEL
105229,75757,OTHER
86160,75757,PARENT
90653,75757,PARENT
61499,18897,ADAPTATION
61499,54172,ALTERNATIVE
61499,20728,ADAPTATION
61499,20876,ADAPTATION
61499,85825,SPIN_OFF
61499,106790,SIDE_STORY
61499,77000,CHARACTER
61499,85194,CHARACTER
61499,90097,SIDE_STORY
61499,75757,CHARACTER
85825,61499,PARENT
85825,20876,ADAPTATION
85825,20728,ADAPTATION
20728,18897,PARENT
20728,61499,ADAPTATION
20728,85825,ADAPTATION
18897,61499,ADAPTATION
18897,20728,SIDE_STORY
18897,20876,SEQUEL
18897,106495,OTHER
20876,18897,PREQUEL
20876,61499,ADAPTATION
20876,85825,ADAPTATION
20876,119947,OTHER
119947,20876,PARENT
106495,18897,PARENT
106495,5081,PARENT
5081,15689,PREQUEL
5081,11597,SEQUEL
5081,44893,ADAPTATION
5081,21520,SIDE_STORY
5081,106495,OTHER
5081,54499,CHARACTER
5081,101311,ALTERNATIVE
5081,143663,ALTERNATIVE
54499,5081,CHARACTER
15689,5081,SEQUEL
15689,21400,PREQUEL
15689,143704,ADAPTATION
21400,21399,PREQUEL
21400,15689,SEQUEL
21400,143701,ADAPTATION
143701,9260,ADAPTATION
143701,101311,ADAPTATION
143701,44893,PREQUEL
143701,21400,ADAPTATION
143701,21399,ADAPTATION
143701,143703,SEQUEL
9260,21399,SEQUEL
9260,143701,ADAPTATION
21399,9260,PREQUEL
21399,21400,SEQUEL
21399,143701,ADAPTATION
44893,5081,ADAPTATION
44893,101311,ADAPTATION
44893,143701,SEQUEL
101311,44893,ADAPTATION
101311,5081,ALTERNATIVE
101311,143663,ADAPTATION
101311,143701,ADAPTATION
101311,143704,ADAPTATION
143663,101311,ADAPTATION
143663,5081,ALTERNATIVE
143704,143703,PREQUEL
143704,53751,SEQUEL
143704,15689,ADAPTATION
143704,101311,ADAPTATION
53751,17074,ADAPTATION
53751,143704,PREQUEL
53751,143720,SEQUEL
17074,11597,PREQUEL
17074,53751,ADAPTATION
17074,21520,SIDE_STORY
17074,104434,SIDE_STORY
17074,21262,SEQUEL
17074,143720,ADAPTATION
17074,143722,ADAPTATION
17074,143724,ADAPTATION
17074,143726,ADAPTATION
143720,17074,ADAPTATION
143720,53751,PREQUEL
143720,143721,SEQUEL
143721,20593,ADAPTATION
143721,143720,PREQUEL
143721,143722,SEQUEL
20593,100815,PREQUEL
20593,143721,ADAPTATION
100815,20593,SEQUEL
100815,21745,PREQUEL
100815,143749,ADAPTATION
21745,100815,SEQUEL
21745,20918,PREQUEL
21745,143747,ADAPTATION
143747,21745,ADAPTATION
143747,143743,PREQUEL
143747,21262,ADAPTATION
143747,143749,SEQUEL
143749,100815,ADAPTATION
143749,96019,SEQUEL
143749,143747,PREQUEL
143749,100995,CHARACTER
96019,143749,PREQUEL
96019,143762,SEQUEL
143762,96019,PREQUEL
143762,143763,SEQUEL
143763,143762,PREQUEL
143763,143764,SEQUEL
143764,143763,PREQUEL
143764,100355,SEQUEL
143764,110415,CHARACTER
100355,143764,PREQUEL
100355,143775,SEQUEL
143775,100355,PREQUEL
143775,143776,SEQUEL
143776,143775,PREQUEL
143776,143778,SEQUEL
143778,143776,PREQUEL
143778,143780,SEQUEL
143780,143778,PREQUEL
143780,165881,SEQUEL
165881,143780,PREQUEL
110415,48162,CHARACTER
110415,39726,CHARACTER
110415,97629,CHARACTER
110415,51115,CHARACTER
110415,48161,CHARACTER
110415,45200,CHARACTER
110415,87272,CHARACTER
110415,108931,CHARACTER
110415,113428,CHARACTER
110415,143764,CHARACTER
48161,6594,ADAPTATION
48161,110415,CHARACTER
48161,100995,CHARACTER
48161,50983,SIDE_STORY
6594,48161,ADAPTATION
100995,51115,CHARACTER
100995,48161,CHARACTER
100995,97629,CHARACTER
100995,45200,CHARACTER
100995,48162,CHARACTER
100995,87272,CHARACTER
100995,108931,CHARACTER
100995,39726,CHARACTER
100995,113428,CHARACTER
100995,143749,CHARACTER
48162,58075,ADAPTATION
48162,143838,PARENT
48162,144028,SEQUEL
58075,48162,ADAPTATION
58075,87161,PREQUEL
87161,48162,ADAPTATION
87161,58075,SEQUEL
87161,144028,ADAPTATION
144028,48162,PREQUEL
144028,87161,ADAPTATION
144028,144029,SEQUEL
144029,144028,PREQUEL
144029,144030,SEQUEL
144030,144029,PREQUEL
144030,144031,SEQUEL
144031,144030,PREQUEL
144031,144032,SEQUEL
144032,144031,PREQUEL
144032,144033,SEQUEL
144033,144032,PREQUEL
143838,39726,PREQUEL
143838,48162,SPIN_OFF
143838,143839,SEQUEL
39726,21803,ADAPTATION
39726,87272,SPIN_OFF
39726,143838,SEQUEL
87272,39726,PARENT
87272,110415,CHARACTER
87272,100995,CHARACTER
87272,144085,SEQUEL
144085,144083,SEQUEL
144085,87272,PREQUEL
144083,144085,PREQUEL
144083,144086,SEQUEL
144086,144083,PREQUEL
144086,144087,SEQUEL
144087,144086,PREQUEL
21803,39726,ADAPTATION
21803,101912,CHARACTER
101912,21803,CHARACTER
143839,143838,PREQUEL
143839,143840,SEQUEL
143840,143839,PREQUEL
143840,143841,SEQUEL
143841,143840,PREQUEL
143841,143842,SEQUEL
143842,143841,PREQUEL
143842,153411,SEQUEL
153411,143842,PREQUEL
108931,110415,CHARACTER
108931,100995,CHARACTER
51115,110415,CHARACTER
51115,100995,CHARACTER
51115,144054,SEQUEL
144054,51115,PREQUEL
144054,144055,SEQUEL
144055,144054,PREQUEL
144055,144056,SEQUEL
144056,144055,PREQUEL
144056,144057,SEQUEL
144057,144056,PREQUEL
45200,110415,CHARACTER
45200,100995,CHARACTER
45200,126574,ADAPTATION
45200,126755,ADAPTATION
126755,45200,ADAPTATION
126755,126574,ALTERNATIVE
126574,45200,ADAPTATION
126574,126755,ALTERNATIVE
113428,103100,ALTERNATIVE
113428,110415,CHARACTER
113428,100995,CHARACTER
103100,113428,ALTERNATIVE
97629,86808,ADAPTATION
97629,99678,ADAPTATION
97629,110415,CHARACTER
97629,100995,CHARACTER
97629,144127,SEQUEL
86808,97629,ADAPTATION
86808,144128,ADAPTATION
86808,144129,ADAPTATION
86808,144127,ADAPTATION
86808,144133,ADAPTATION
86808,144130,ADAPTATION
86808,144131,ADAPTATION
144128,144127,PREQUEL
144128,144129,SEQUEL
144128,86808,ADAPTATION
144129,144128,PREQUEL
144129,144130,SEQUEL
144129,86808,ADAPTATION
144130,144129,PREQUEL
144130,144131,SEQUEL
144130,86808,ADAPTATION
144131,144130,PREQUEL
144131,144132,SEQUEL
144131,86808,ADAPTATION
144132,144131,PREQUEL
144132,144133,SEQUEL
144133,144132,PREQUEL
144133,144134,SEQUEL
144133,86808,ADAPTATION
144134,144133,PREQUEL
144134,144135,SEQUEL
144135,144134,PREQUEL
144135,144136,SEQUEL
144136,144135,PREQUEL
144136,144137,SEQUEL
144137,144136,PREQUEL
144137,144138,SEQUEL
144138,144137,PREQUEL
144127,97629,PREQUEL
144127,144128,SEQUEL
144127,86808,ADAPTATION
99678,97629,ADAPTATION
99678,74227,ADAPTATION
99678,20918,CHARACTER
74227,20918,ADAPTATION
74227,99678,ADAPTATION
74227,143726,PREQUEL
74227,143743,SEQUEL
143726,143724,PREQUEL
143726,85538,OTHER
143726,17074,ADAPTATION
143726,74227,SEQUEL
85538,143726,PARENT
143724,143722,PREQUEL
143724,17074,ADAPTATION
143724,143726,SEQUEL
143722,17074,ADAPTATION
143722,143721,PREQUEL
143722,143724,SEQUEL
20918,74227,ADAPTATION
20918,99678,CHARACTER
20918,21520,SIDE_STORY
20918,21745,SEQUEL
20918,21262,PREQUEL
21262,17074,PREQUEL
21262,20918,SEQUEL
21262,143747,ADAPTATION
21520,5081,PARENT
21520,11597,PARENT
21520,17074,PARENT
21520,20918,PARENT
21520,143743,ADAPTATION
11597,5081,PREQUEL
11597,17074,SEQUEL
11597,21520,SIDE_STORY
11597,95265,CHARACTER
11597,102859,OTHER
11597,143703,ADAPTATION
95265,11597,CHARACTER
102859,11597,PARENT
143703,143701,PREQUEL
143703,11597,ADAPTATION
143703,143704,SEQUEL
143743,21520,ADAPTATION
143743,143747,SEQUEL
143743,74227,PREQUEL
50983,48161,PARENT
104434,17074,PARENT
106790,61499,PARENT
77000,61499,CHARACTER
77000,65243,OTHER
65243,86054,SPIN_OFF
65243,20464,ADAPTATION
65243,20992,ADAPTATION
65243,21120,ADAPTATION
65243,21244,ADAPTATION
65243,21698,ADAPTATION
65243,98884,ADAPTATION
65243,106625,ADAPTATION
65243,107351,ADAPTATION
65243,109512,SPIN_OFF
65243,111790,ADAPTATION
65243,60987,ALTERNATIVE
65243,113538,ADAPTATION
65243,91850,SIDE_STORY
65243,125493,SIDE_STORY
65243,77000,OTHER
