media_id,genre_id
20876,Romance
20876,Slice of Life
119947,Comedy
119947,Mahou Shoujo
119947,Romance
106495,Comedy
5081,Comedy
5081,Drama
5081,Mystery
5081,Psychological
5081,Romance
5081,Supernatural
54499,Comedy
15689,Drama
15689,Mystery
15689,Psychological
15689,Romance
15689,Supernatural
21400,Action
21400,Drama
21400,Ecchi
21400,Mystery
21400,Psychological
21400,Supernatural
143701,Action
143701,Mystery
143701,Romance
143701,Supernatural
9260,Action
9260,Drama
9260,Ecchi
9260,Mystery
9260,Psychological
9260,Supernatural
21399,Action
21399,Drama
21399,Ecchi
21399,Mystery
21399,Psychological
21399,Supernatural
44893,Action
44893,Mystery
44893,Romance
44893,Supernatural
101311,Action
101311,Comedy
101311,Drama
101311,Mystery
101311,Romance
101311,Supernatural
143663,Mystery
143663,Romance
143663,Supernatural
143704,Action
143704,Drama
143704,Mystery
143704,Romance
143704,Supernatural
53751,Comedy
53751,Mystery
53751,Psychological
53751,Romance
53751,Supernatural
17074,Comedy
17074,Drama
17074,Mystery
17074,Psychological
17074,Romance
17074,Supernatural
143720,Comedy
143720,Drama
143720,Mystery
143720,Psychological
143720,Supernatural
143721,Comedy
143721,Drama
143721,Mystery
143721,Psychological
143721,Supernatural
20593,Drama
20593,Mystery
20593,Psychological
20593,Supernatural
100815,Drama
100815,Mystery
100815,Supernatural
21745,Comedy
21745,Mystery
21745,Psychological
21745,Romance
21745,Supernatural
143747,Drama
143747,Mystery
143747,Psychological
143747,Romance
143747,Supernatural
143749,Comedy
143749,Drama
143749,Mystery
143749,Psychological
143749,Supernatural
96019,Comedy
96019,Drama
96019,Mystery
96019,Supernatural
143762,Comedy
143762,Drama
143762,Fantasy
143762,Mystery
143762,Supernatural
143763,Action
143763,Comedy
143763,Drama
143763,Mystery
143763,Supernatural
143764,Comedy
143764,Drama
143764,Mystery
143764,Supernatural
100355,Comedy
100355,Mystery
100355,Psychological
100355,Supernatural
143775,Comedy
143775,Drama
143775,Mystery
143775,Supernatural
143776,Comedy
143776,Drama
143776,Mystery
143776,Psychological
143776,Supernatural
143776,Thriller
143778,Comedy
143778,Drama
143778,Mystery
143778,Supernatural
143780,Adventure
143780,Comedy
143780,Drama
143780,Mystery
143780,Supernatural
165881,Comedy
165881,Drama
165881,Mystery
165881,Psychological
165881,Supernatural
110415,Comedy
110415,Supernatural
48161,Action
48161,Adventure
48161,Romance
6594,Action
6594,Adventure
6594,Romance
100995,Comedy
48162,Action
48162,Comedy
48162,Psychological
58075,Action
58075,Drama
58075,Mystery
58075,Supernatural
87161,Action
87161,Drama
87161,Supernatural
144028,Action
144028,Comedy
144028,Psychological
144029,Action
144029,Comedy
144029,Psychological
144030,Action
144030,Comedy
144030,Psychological
144031,Action
144031,Comedy
144031,Psychological
144032,Action
144032,Comedy
144032,Psychological
144033,Action
144033,Comedy
144033,Psychological
143838,Comedy
143838,Mystery
143838,Psychological
39726,Action
39726,Comedy
39726,Drama
39726,Mystery
39726,Psychological
87272,Action
87272,Drama
87272,Romance
87272,Supernatural
144085,Action
144085,Adventure
144085,Psychological
144085,Romance
144083,Action
144083,Adventure
144083,Psychological
144083,Romance
144086,Action
144086,Adventure
144086,Psychological
144086,Romance
144087,Action
144087,Adventure
144087,Mystery
144087,Romance
21803,Drama
21803,Mystery
21803,Psychological
21803,Thriller
101912,Slice of Life
143839,Comedy
143839,Drama
143839,Mystery
143839,Psychological
143840,Drama
143840,Mystery
143840,Psychological
143841,Drama
143841,Mystery
143841,Psychological
143841,Thriller
143842,Action
143842,Drama
143842,Psychological
143842,Supernatural
153411,Mystery
153411,Psychological
153411,Thriller
108931,Drama
108931,Supernatural
51115,Mystery
51115,Psychological
51115,Romance
144054,Mystery
144054,Psychological
144055,Mystery
144055,Psychological
144056,Mystery
144056,Psychological
144057,Mystery
144057,Psychological
45200,Action
45200,Fantasy
45200,Mystery
45200,Psychological
126755,Action
126755,Adventure
126755,Mahou Shoujo
126755,Mystery
126755,Psychological
126574,Action
126574,Drama
126574,Mystery
126574,Psychological
113428,Comedy
113428,Mystery
113428,Sci-Fi
103100,Comedy
103100,Mystery
103100,Sci-Fi
97629,Mystery
97629,Psychological
86808,Mystery
86808,Psychological
144128,Mystery
144128,Psychological
144129,Mystery
144129,Psychological
144130,Mystery
144130,Psychological
144131,Mystery
144131,Psychological
144132,Mystery
144132,Psychological
144133,Mystery
144133,Psychological
144134,Mystery
144134,Psychological
144135,Mystery
144135,Psychological
144136,Mystery
144136,Psychological
144137,Mystery
144137,Psychological
144138,Mystery
144138,Psychological
144127,Mystery
144127,Psychological
99678,Supernatural
74227,Comedy
74227,Mystery
74227,Psychological
74227,Supernatural
143726,Action
143726,Comedy
143726,Drama
143726,Psychological
143726,Supernatural
85538,Comedy
85538,Romance
143724,Action
143724,Drama
143724,Mystery
143724,Psychological
143724,Supernatural
143722,Comedy
143722,Drama
143722,Mystery
143722,Psychological
143722,Supernatural
20918,Comedy
20918,Ecchi
20918,Mystery
20918,Supernatural
21262,Drama
21262,Mystery
21262,Psychological
21262,Supernatural
21520,Comedy
21520,Mystery
21520,Supernatural
11597,Comedy
11597,Drama
11597,Ecchi
11597,Mystery
11597,Psychological
11597,Supernatural
95265,Comedy
95265,Romance
95265,Supernatural
143703,Action
143703,Mystery
143703,Romance
143703,Supernatural
143743,Comedy
143743,Mystery
143743,Psychological
143743,Supernatural
50983,Action
50983,Adventure
50983,Comedy
104434,Comedy
104434,Drama
104434,Psychological
106790,Comedy
106790,Romance
77000,Comedy
77000,Sports
65243,Comedy
65243,Drama
65243,Sports
20992,Comedy
20992,Drama
20992,Sports
21698,Comedy
21698,Drama
21698,Sports
98885,Comedy
98885,Drama
98885,Sports
98884,Comedy
98884,Drama
98884,Sports
21244,Comedy
21244,Drama
21244,Sports
21120,Comedy
21120,Drama
21120,Sports
20464,Comedy
20464,Drama
20464,Sports
115217,Sports
20884,Comedy
20884,Drama
20884,Sports
107263,Comedy
107263,Fantasy
107263,Sports
111790,Comedy
111790,Drama
111790,Sports
106625,Comedy
106625,Drama
106625,Sports
113538,Comedy
113538,Drama
113538,Sports
153658,Comedy
153658,Drama
153658,Sports
107351,Sports
21348,Comedy
21348,Drama
21348,Sports
147972,Sports
86054,Comedy
86054,Sports
125493,Comedy
125493,Drama
125493,Sports
91850,Comedy
91850,Drama
91850,Sports
60987,Sports
109512,Comedy
109512,Sports
85194,Comedy
85194,Drama
85194,Romance
66933,Comedy
66933,Romance
20946,Comedy
20946,Romance
82389,Comedy
54294,Comedy
54294,Drama
54294,Romance
54294,Slice of Life
63297,Comedy
63297,Drama
63297,Romance
63297,Slice of Life
20900,Romance
20900,Slice of Life
20596,Comedy
20596,Drama
20596,Romance
20596,Slice of Life
20837,Romance
20837,Slice of Life
139852,Drama
139852,Romance
37378,Drama
37378,Romance
92493,Drama
92493,Romance
92493,Slice of Life
82423,Romance
82423,Slice of Life
85755,Romance
85755,Slice of Life
90097,Comedy
90097,Romance
54172,Action
54172,Comedy
54172,Romance
91144,Action
91144,Adventure
91144,Comedy
91144,Fantasy
91144,Romance
91144,Sci-Fi
91144,Slice of Life
41282,Action
41282,Adventure
41282,Comedy
129186,Fantasy
35801,Action
35801,Adventure
35801,Comedy
35801,Fantasy
35801,Romance
41764,Action
41764,Comedy
41764,Drama
41764,Sci-Fi
42121,Action
42121,Adventure
42121,Comedy
42121,Fantasy
36943,Comedy
36943,Romance
36943,Slice of Life
78151,Action
78151,Sci-Fi
114087,Action
114087,Sci-Fi
127400,Action
127400,Sci-Fi
20729,Action
20729,Adventure
20729,Sci-Fi
20729,Supernatural
118634,Action
118634,Sci-Fi
61081,Action
61081,Comedy
61081,Sci-Fi
128605,Comedy
128605,Drama
128605,Ecchi
96093,Comedy
96093,Drama
96093,Ecchi
44022,Comedy
162890,Comedy
111952,Action
111952,Comedy
111952,Fantasy
21288,Action
21288,Comedy
21288,Fantasy
21288,Sci-Fi
101926,Action
101926,Fantasy
87499,Fantasy
98095,Action
98095,Fantasy
98094,Action
98094,Fantasy
98096,Action
98096,Fantasy
107908,Fantasy
3008,Adventure
3008,Comedy
4578,Action
4578,Comedy
4578,Mecha
4578,Sci-Fi
5344,Mecha
3915,Adventure
3915,Comedy
3915,Mecha
5475,Action
5475,Adventure
6889,Action
6889,Adventure
6889,Comedy
6889,Sci-Fi
8553,Comedy
8553,Sci-Fi
8011,Sci-Fi
145358,Comedy
11873,Comedy
3683,Comedy
1445,Adventure
1445,Sports
4905,Comedy
37546,Action
37546,Comedy
3571,Action
3571,Adventure
3571,Sci-Fi
3571,Sports
5287,Action
5287,Adventure
5287,Comedy
5287,Sports
4808,Action
4808,Adventure
4808,Comedy
4808,Sci-Fi
3398,Action
3398,Sci-Fi
4810,Action
4810,Mecha
4810,Sci-Fi
4981,Action
4981,Adventure
4981,Drama
4981,Psychological
4981,Sci-Fi
168408,Action
168408,Sci-Fi
1598,Adventure
1598,Mecha
1598,Sci-Fi
4013,Adventure
2574,Adventure
2574,Fantasy
6989,Action
6989,Adventure
6989,Sci-Fi
1458,Action
1458,Adventure
1458,Mecha
1458,Sci-Fi
1459,Action
1459,Adventure
1459,Drama
1459,Mecha
1459,Romance
1459,Sci-Fi
1460,Action
1460,Adventure
1460,Drama
1460,Mecha
1460,Sci-Fi
2299,Action
2299,Mecha
2299,Sci-Fi
2300,Action
2300,Mecha
2300,Sci-Fi
2301,Action
2301,Mecha
2301,Sci-Fi
307,Comedy
3858,Adventure
3858,Comedy
3858,Drama
8139,Adventure
8139,Comedy
8139,Drama
8140,Adventure
8140,Comedy
8140,Drama
8141,Adventure
8141,Comedy
8141,Drama
2389,Action
2389,Adventure
2389,Fantasy
2389,Sci-Fi
6374,Action
6375,Action
3153,Action
3153,Adventure
3153,Sci-Fi
3154,Action
3154,Adventure
3154,Sci-Fi
121714,Comedy
18229,Action
18229,Adventure
18229,Sci-Fi
21252,Adventure
21252,Sci-Fi
20487,Action
20487,Adventure
20487,Sci-Fi
20759,Adventure
20759,Sci-Fi
15957,Comedy
7551,Action
7551,Adventure
7551,Mecha
7551,Sci-Fi
4154,Action
4154,Adventure
4154,Comedy
4154,Fantasy
4154,Mecha
21755,Action
21755,Comedy
21755,Sci-Fi
98521,Action
98521,Adventure
98521,Comedy
98521,Mecha
98521,Sci-Fi
20922,Action
20922,Adventure
20922,Comedy
20922,Sci-Fi
3295,Adventure
3295,Comedy
6693,Comedy
2892,Comedy
2892,Fantasy
114402,Comedy
114402,Fantasy
121717,Comedy
98069,Action
98069,Fantasy
100262,Action
100262,Fantasy
98846,Action
98846,Fantasy
98846,Music
98791,Action
98791,Fantasy
98791,Music
136143,Fantasy
136143,Slice of Life
21584,Music
21584,Slice of Life
137355,Comedy
137355,Slice of Life
97385,Music
97385,Slice of Life
105804,Music
105804,Slice of Life
98349,Music
98349,Slice of Life
100965,Music
100965,Slice of Life
168501,Slice of Life
147034,Adventure
147034,Comedy
147034,Fantasy
151513,Fantasy
151513,Music
151513,Slice of Life
166381,Comedy
166381,Fantasy
101280,Action
101280,Adventure
101280,Comedy
101280,Fantasy
116741,Adventure
116741,Comedy
116741,Fantasy
116741,Slice of Life
163660,Adventure
163660,Comedy
163660,Fantasy
163660,Slice of Life
104822,Adventure
104822,Comedy
104822,Fantasy
104822,Slice of Life
86355,Adventure
86355,Comedy
86355,Fantasy
161858,Adventure
161858,Comedy
161858,Fantasy
103875,Comedy
103875,Fantasy
114566,Comedy
114566,Fantasy
114566,Slice of Life
86399,Action
86399,Adventure
86399,Comedy
86399,Fantasy
116742,Action
116742,Adventure
116742,Comedy
116742,Fantasy
139498,Action
139498,Adventure
139498,Comedy
139498,Fantasy
156822,Action
156822,Adventure
156822,Comedy
156822,Fantasy
108511,Action
108511,Adventure
108511,Comedy
108511,Fantasy
161802,Action
161802,Adventure
161802,Comedy
161802,Fantasy
127725,Comedy
127725,Drama
127725,Fantasy
47204,Drama
47204,Slice of Life
92005,Drama
92005,Slice of Life
53315,Slice of Life
127723,Drama
127723,Slice of Life
92007,Drama
92007,Slice of Life
120844,Comedy
120844,Fantasy
120844,Slice of Life
107479,Comedy
107479,Fantasy
30446,Comedy
30446,Fantasy
30446,Romance
1003,Comedy
1003,Romance
1003,Supernatural
50,Comedy
50,Romance
50,Supernatural
303,Comedy
303,Supernatural
32700,Comedy
32700,Supernatural
880,Comedy
880,Romance
880,Supernatural
2198,Comedy
2198,Romance
2198,Supernatural
3090,Comedy
3090,Romance
3090,Supernatural
9611,Comedy
9611,Romance
9611,Supernatural
49,Comedy
49,Drama
49,Romance
49,Supernatural
304,Drama
304,Romance
304,Supernatural
34603,Comedy
34603,Fantasy
34603,Romance
10541,Comedy
11609,Comedy
127724,Drama
127724,Mystery
107578,Fantasy
11611,Comedy
53310,Slice of Life
53311,Slice of Life
53312,Drama
53312,Slice of Life
53313,Slice of Life
53314,Slice of Life
92006,Drama
92006,Slice of Life
133123,Drama
133123,Slice of Life
159627,Drama
159627,Slice of Life
106509,Action
106509,Adventure
106509,Comedy
106509,Ecchi
106509,Fantasy
110029,Comedy
110029,Fantasy
110029,Slice of Life
110271,Adventure
110271,Comedy
110271,Fantasy
150291,Comedy
150291,Fantasy
150291,Mystery
150291,Supernatural
164248,Comedy
164248,Fantasy
146503,Comedy
146503,Fantasy
127225,Comedy
124668,Comedy
